feat_idx	best_transform	params_csv	r_identity	r_best
126	identity		0.154081	0.154081
127	identity		-0.087065	-0.087065
128	identity		-0.112861	-0.112861
129	log1p		-0.008354	0.053415
130	signed_cbrt		-0.140276	-0.255088
131	signed_cbrt		-0.190455	-0.283268
132	signed_cbrt		-0.168673	-0.268514
133	identity		-0.492151	-0.492151
134	signed_cbrt		-0.372034	-0.389583
135	identity		-0.472421	-0.472421
136	signed_cbrt		-0.006339	-0.107688
137	signed_cbrt		-0.083374	-0.164582
138	signed_cbrt		-0.057903	-0.148506
139	signed_cbrt		0.000272	-0.127111
140	identity		0.119507	0.119507
141	identity		0.118583	0.118583
142	signed_cbrt		-0.119325	-0.234973
143	identity		0.103104	0.103104
144	identity		0.085999	0.085999
145	identity		0.096368	0.096368
146	identity		0.113603	0.113603
147	identity		0.097432	0.097432
148	identity		0.103324	0.103324
149	identity		-0.237908	-0.237908
150	identity		-0.222536	-0.222536
151	identity		-0.237099	-0.237099
152	identity		0.155652	0.155652
153	signed_cbrt		-0.043725	0.081240
154	identity		-0.126676	-0.126676
155	log1p		-0.012977	0.052590
156	identity		0.000000	0.000000
157	identity		0.000000	0.000000
158	identity		0.000000	0.000000
159	identity		0.000000	0.000000
160	identity		0.000000	0.000000
161	identity		0.000000	0.000000
162	identity		0.000000	0.000000
163	identity		0.000000	0.000000
164	identity		0.000000	0.000000
165	identity		0.000000	0.000000
166	identity		0.000000	0.000000
167	identity		0.000000	0.000000
168	identity		0.000000	0.000000
169	identity		0.000000	0.000000
170	identity		0.000000	0.000000
171	identity		0.000000	0.000000
172	identity		0.000000	0.000000
173	identity		0.000000	0.000000
174	identity		0.000000	0.000000
175	identity		0.000000	0.000000
176	identity		0.000000	0.000000
177	identity		0.000000	0.000000
178	identity		0.000000	0.000000
179	identity		0.000000	0.000000
180	identity		0.000000	0.000000
181	identity		0.000000	0.000000
182	identity		0.000000	0.000000
183	identity		0.000000	0.000000
184	identity		0.000000	0.000000
185	identity		0.000000	0.000000
186	identity		0.000000	0.000000
187	identity		0.000000	0.000000
188	identity		0.000000	0.000000
189	identity		0.000000	0.000000
190	identity		0.000000	0.000000
191	identity		0.000000	0.000000
192	identity		0.000000	0.000000
193	identity		0.000000	0.000000
194	identity		0.000000	0.000000
195	identity		0.000000	0.000000
196	identity		0.000000	0.000000
197	identity		0.000000	0.000000
198	identity		0.000000	0.000000
199	identity		0.000000	0.000000
200	identity		0.000000	0.000000
201	identity		0.000000	0.000000
202	identity		0.000000	0.000000
203	identity		0.000000	0.000000
204	identity		0.000000	0.000000
205	identity		0.000000	0.000000
206	identity		0.000000	0.000000
207	identity		0.000000	0.000000
208	identity		0.000000	0.000000
209	identity		0.000000	0.000000
210	identity		0.000000	0.000000
211	identity		0.000000	0.000000
212	identity		0.000000	0.000000
213	identity		0.000000	0.000000
214	identity		0.000000	0.000000
215	identity		0.000000	0.000000
216	identity		0.000000	0.000000
217	identity		0.000000	0.000000
218	identity		0.000000	0.000000
219	identity		0.000000	0.000000
220	identity		0.000000	0.000000
221	identity		0.000000	0.000000
222	identity		0.000000	0.000000
223	identity		0.000000	0.000000
224	identity		0.000000	0.000000
225	identity		0.000000	0.000000
226	identity		0.000000	0.000000
227	identity		0.000000	0.000000
228	identity		0.000000	0.000000
229	identity		0.000000	0.000000
230	identity		0.000000	0.000000
231	identity		0.000000	0.000000
232	identity		0.000000	0.000000
233	identity		0.000000	0.000000
234	identity		0.000000	0.000000
235	identity		0.000000	0.000000
236	identity		0.000000	0.000000
237	identity		0.000000	0.000000
238	identity		0.000000	0.000000
239	identity		0.000000	0.000000
240	identity		0.000000	0.000000
241	identity		0.000000	0.000000
242	identity		0.000000	0.000000
243	identity		0.000000	0.000000
244	identity		0.000000	0.000000
245	identity		0.000000	0.000000
246	identity		0.000000	0.000000
247	identity		0.000000	0.000000
248	identity		0.000000	0.000000
249	identity		0.000000	0.000000
250	identity		0.000000	0.000000
251	identity		0.000000	0.000000
252	identity		0.000000	0.000000
253	identity		0.000000	0.000000
254	identity		0.000000	0.000000
255	identity		0.000000	0.000000
256	identity		0.000000	0.000000
257	identity		0.000000	0.000000
258	identity		0.000000	0.000000
259	identity		0.000000	0.000000
260	identity		0.000000	0.000000
261	identity		0.000000	0.000000
262	identity		0.000000	0.000000
263	identity		0.000000	0.000000
264	identity		0.000000	0.000000
265	identity		0.000000	0.000000
266	identity		0.000000	0.000000
267	identity		0.000000	0.000000
268	identity		0.000000	0.000000
269	identity		0.000000	0.000000
270	identity		0.000000	0.000000
271	identity		0.000000	0.000000
272	identity		0.000000	0.000000
273	identity		0.000000	0.000000
274	identity		0.000000	0.000000
275	identity		0.000000	0.000000
276	identity		0.000000	0.000000
277	identity		0.000000	0.000000
278	identity		0.000000	0.000000
279	identity		0.000000	0.000000
280	identity		0.000000	0.000000
281	identity		0.000000	0.000000
282	identity		0.000000	0.000000
283	identity		0.000000	0.000000
284	identity		0.000000	0.000000
285	identity		0.000000	0.000000
286	identity		0.000000	0.000000
287	identity		0.000000	0.000000
288	identity		0.000000	0.000000
289	identity		0.000000	0.000000
290	identity		0.000000	0.000000
291	identity		0.000000	0.000000
292	identity		0.000000	0.000000
293	identity		0.000000	0.000000
294	identity		0.000000	0.000000
295	identity		0.000000	0.000000
296	identity		0.000000	0.000000
297	identity		0.000000	0.000000
298	identity		0.000000	0.000000
299	identity		0.000000	0.000000
300	identity		0.000000	0.000000
301	identity		0.000000	0.000000
302	identity		0.000000	0.000000
303	identity		0.000000	0.000000
304	identity		0.000000	0.000000
305	identity		0.000000	0.000000
306	identity		0.000000	0.000000
307	identity		0.000000	0.000000
308	identity		0.000000	0.000000
309	identity		0.000000	0.000000
310	identity		0.000000	0.000000
311	identity		0.000000	0.000000
312	identity		0.000000	0.000000
313	identity		0.000000	0.000000
314	identity		0.000000	0.000000
315	identity		0.000000	0.000000
316	identity		0.000000	0.000000
317	identity		0.000000	0.000000
318	identity		0.000000	0.000000
319	identity		0.000000	0.000000
320	identity		0.000000	0.000000
321	identity		0.000000	0.000000
322	identity		0.000000	0.000000
323	identity		0.000000	0.000000
324	identity		0.000000	0.000000
325	identity		0.000000	0.000000
326	identity		0.000000	0.000000
327	identity		0.000000	0.000000
328	identity		0.000000	0.000000
329	identity		0.000000	0.000000
330	identity		0.000000	0.000000
331	identity		0.000000	0.000000
332	identity		0.000000	0.000000
333	identity		0.000000	0.000000
334	identity		0.000000	0.000000
335	identity		0.000000	0.000000
336	identity		0.000000	0.000000
337	identity		0.000000	0.000000
338	identity		0.000000	0.000000
339	identity		0.000000	0.000000
340	identity		0.000000	0.000000
341	identity		0.000000	0.000000
342	identity		0.000000	0.000000
343	identity		0.000000	0.000000
344	identity		0.000000	0.000000
345	identity		0.000000	0.000000
346	identity		0.000000	0.000000
347	identity		0.000000	0.000000
348	identity		0.000000	0.000000
349	identity		0.000000	0.000000
350	identity		0.000000	0.000000
351	identity		0.000000	0.000000
352	identity		0.000000	0.000000
353	identity		0.000000	0.000000
354	identity		0.000000	0.000000
355	identity		0.000000	0.000000
356	identity		0.000000	0.000000
357	identity		0.000000	0.000000
358	identity		0.000000	0.000000
359	identity		0.000000	0.000000
360	identity		0.000000	0.000000
361	identity		0.000000	0.000000
362	identity		0.000000	0.000000
363	identity		0.000000	0.000000
364	identity		0.000000	0.000000
365	identity		0.000000	0.000000
366	identity		0.000000	0.000000
367	identity		0.000000	0.000000
368	identity		0.000000	0.000000
369	identity		0.000000	0.000000
370	identity		0.000000	0.000000
371	identity		0.000000	0.000000
372	identity		-0.036446	-0.036446
373	signed_cbrt		-0.009433	-0.026824
374	log1p		-0.024052	-0.031336
375	identity		-0.053892	-0.053892
376	identity		-0.029074	-0.029074
377	identity		0.138433	0.138433
378	identity		-0.070270	-0.070270
379	identity		0.026462	0.026462
380	identity		-0.072125	-0.072125
381	identity		-0.052802	-0.052802
382	identity		-0.085312	-0.085312
383	identity		-0.044782	-0.044782
384	identity		-0.038835	-0.038835
385	identity		-0.062576	-0.062576
386	identity		-0.020201	-0.020201
